cluster_100,count,mean,std,min,25%,50%,75%,max,area_model,benchmark_1_2,benchmark_quarters,comparing_frac_gt_lt,counting_hops_for_division,counting_hops_not_ticks,deci_add_to_model,deci_break_tenths_hundredths,deci_building_tenths,deci_compare_no_models,deci_forgot_decimal_point,deci_hops_instead_ticks,deci_hundredths_vs_tenths,deci_incorrect_inequality,deci_placing_decimal_points,deci_point_location_correct,deci_tens_vs_tenths,deci_understanding_gt_lt,determine_the_frac_part,dragging_to_add,dragging_to_add_3_circles,equally_sized_parts,fraction_of_set,hops_vs_ticks,how_to_model,identifying_gt_lt,inequality_symbol,inverts_numerator_denominator,measuring_tools,misplaced_fraction_part_nline,mixed_number_quotient,mixed_numbers_on_number_line,modeled_incorrect_comparison,modeled_incorrect_numerator,modeling_fraction_division,modulo_ans,multiplication,multiplying_whole_by_proper,nline_as_whole,nline_restart_one,numerator_off_by_one_nline,only_tenths_entered,orange_tick,partially_drawn_parts,partitioning_number_line,recognizing_the_whole,simplify_with_common_denom,simplifying_answers_nline,simplifying_bars_2,simplifying_fractions,simplifying_mixed_numbers,simplifying_mixed_numbers_2,simplifying_subtraction,simplifying_with_bars,starting_from_0_nline,using_bars_in_division,using_correct_piece,wrong_number_parts
11,835.0,0.8504714812798645,0.17689065900490322,0.0,0.7777777777777778,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,13,0,0,0,0,0,0,0
12,1013.0,0.8397262357035309,0.19109197676184117,0.0,0.7777777777777778,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,1,0
13,284.0,0.7523965764282665,0.24135165844832293,0.0,0.6363636363636364,0.8,0.9318181818181818,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,23,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,82,0,13,0,0,0,0,0
14,251.0,0.9335897391674284,0.12239829932831911,0.0,0.8888888888888888,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,14179.0,0.7579843654319993,0.26951597168388436,0.0,0.6428571428571429,0.8,1.0,1.0,4,0,0,482,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,13,0,0,0,0,67,2806,0,2342,0,0,0,0,7,7,0,0,26,3,0,0,0,0,0,0,0,24,0,0,0,9,9,0,0,0,0,0,0,0
16,285.0,0.8904483430799222,0.15880775929187615,0.0,0.8,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
17,1817.0,0.7723955293162779,0.2501902666316643,0.0,0.6666666666666666,0.8,1.0,1.0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
18,38.0,0.9261012379433432,0.10105330859555006,0.6428571428571429,0.8888888888888888,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
19,1302.0,0.8198070234936595,0.23770630784303637,0.0,0.7777777777777778,0.875,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,12,4,0,0,0,0,0,0
20,135.0,0.7577555983111539,0.2636507767599246,0.0,0.6904761904761905,0.8181818181818182,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,29,0,0,0,0
21,2290.0,0.7484783738823039,0.2476661094056873,0.0,0.625,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,379.0,0.8699123728807105,0.17787943115494567,0.0,0.8,0.9090909090909091,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,317.0,0.7718288108666655,0.2268074465894885,0.0,0.6428571428571429,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,0,0,0,16,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,125.0,0.8159004329004329,0.20849604575573047,0.0,0.7272727272727273,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1,7,0,0,0,0,0
25,2597.0,0.7880377708544825,0.20849558282982858,0.0,0.7142857142857143,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,81,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,8,1,1,0,0,0,0,0,0
26,1265.0,0.7828486160304342,0.2486861078995361,0.0,0.7272727272727273,0.875,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
27,858.0,0.7621303359939724,0.23989408726385952,0.0,0.6363636363636364,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,146,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,16,0
28,2328.0,0.7952086680501629,0.23166804399371435,0.0,0.7142857142857143,0.8333333333333334,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,107,107,0,106,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1025.0,0.7757796783162638,0.21840459422754166,0.0,0.6428571428571429,0.8181818181818182,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,24,0
30,2235.0,0.7613131151721755,0.265311991488336,0.0,0.7142857142857143,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,470.0,0.7187950937950939,0.26811213662861627,0.0,0.5714285714285714,0.8,0.9090909090909091,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,57,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,3,0,0,0,1,119,3,51,0,0,0,0,0
32,483.0,0.8016943316632759,0.23116910755752032,0.0,0.7272727272727273,0.8571428571428571,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,76,6,50,0,0,0,0,0
33,636.0,0.8110465617541088,0.20926253728162578,0.0,0.75,0.8571428571428571,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,57,0,0,0,91,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,182,0,0,0,0,0,0,0
34,2293.0,0.8452839717340371,0.2104931375025596,0.0,0.8,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974,0,0,0,0,0,0,0,0,0,0,0,0
35,581.0,0.9031509463953526,0.14019182864697594,0.0,0.8181818181818182,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,345.0,0.7710665984579029,0.23056622019636983,0.0,0.7142857142857143,0.8,0.9090909090909091,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,14,0,1,4,0
37,628.0,0.7791948718302221,0.2581390107979992,0.0,0.7142857142857143,0.8257575757575758,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
38,80.0,0.8348917748917749,0.17216141504740537,0.14285714285714285,0.7777777777777778,0.8571428571428571,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,431.0,0.8406881208505338,0.19926654600201707,0.0,0.7777777777777778,0.8888888888888888,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,283.0,0.7410913781938517,0.25882446108887824,0.0,0.6125,0.8,0.8888888888888888,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,5,0,0,0,0,32,0,2,0,0,0,0,0
41,651.0,0.8214226974595639,0.2069018971435192,0.0,0.75,0.8888888888888888,1.0,1.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,262.0,0.8758798453454942,0.19211224952605976,0.0,0.8,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,9,0
43,736.0,0.8314643915866742,0.19866375481717613,0.0,0.75,0.875,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,40,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,127,0,0,0,0,0,0,0
44,138.0,0.9162698412698412,0.13507124063611048,0.3333333333333333,0.8888888888888888,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,1837.0,0.8631185091446387,0.18100706960854357,0.0,0.8,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,855.0,0.825828502232011,0.22063852066084338,0.0,0.7272727272727273,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,302.0,0.8287739026977436,0.1944323491137802,0.0,0.75,0.8571428571428571,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0
48,3968.0,0.799106115518666,0.21351630474858682,0.0,0.7142857142857143,0.8333333333333334,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,953,0,0,0
49,622.0,0.8055476097678671,0.1989496603303566,0.0,0.7272727272727273,0.8571428571428571,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,8,0,0,0,280,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,17,0,0,0,0,0
50,269.0,0.8497280290960588,0.1723621428185677,0.36363636363636365,0.7777777777777778,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1053.0,0.7807756372571187,0.25767569344379293,0.0,0.7142857142857143,0.8333333333333334,1.0,1.0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,65,3,0,0,0,2,2,0,0,0,0,2,2,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0
52,637.0,0.9029595687758953,0.15110103395778163,0.0,0.8571428571428571,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1042.0,0.740875183677487,0.2903501147890129,0.0,0.637987012987013,0.8,1.0,1.0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,53,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0
54,500.0,0.8068401875901876,0.21658298132100415,0.0,0.75,0.8181818181818182,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,191,0,2,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0
55,1016.0,0.7501693434518238,0.2363126869541256,0.0,0.6363636363636364,0.8,1.0,1.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32,0,0,0,0,111,111,0,0,0,0,3,3,0,0,0,0,0,0,1,0,39,0,0,0,0,33,0,3,14,0
56,622.0,0.8633801264830203,0.1940923433532943,0.0,0.8,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,262.0,0.8696259211526387,0.1920788247223838,0.0,0.8,0.9545454545454546,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
58,1149.0,0.7613389753076437,0.24580545023645234,0.0,0.6428571428571429,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,51,51,0,15,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,283.0,0.8689497193030762,0.18823786573301515,0.0,0.8,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,72,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
60,481.0,0.6920121170121172,0.31787148504679763,0.0,0.5714285714285714,0.8,0.8888888888888888,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,38,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,47,1,0,0,0,15,3,16,0,0,0,0,0
61,457.0,0.8249564257769947,0.2203499116540836,0.0,0.75,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,18,0,0,1,0
62,333.0,0.7278355195021862,0.23884010050358448,0.0,0.5714285714285714,0.8,0.8888888888888888,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,49,0,3,0,0
63,921.0,0.8594035985729798,0.13752647405306787,0.0,0.8,0.8571428571428571,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
64,1399.0,0.8811255101819792,0.15124138584168212,0.0,0.8,0.8888888888888888,1.0,1.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,613,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,13,0,0,0,0,0,0,0
65,1069.0,0.8092609915809168,0.2262585633511556,0.0,0.7272727272727273,0.8571428571428571,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,12,0,0,2,0
66,149.0,0.5970326466970762,0.29788215443622734,0.0,0.36363636363636365,0.6363636363636364,0.8181818181818182,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,66,0,29,0,0,0,0,0
67,1006.0,0.7815043830699895,0.22716411262459743,0.0,0.6785714285714286,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,2,0,0,0,63,63,0,0,0,0,2,2,0,0,2,0,0,0,4,0,8,0,0,0,0,7,0,1,8,0
68,374.0,0.8454362185645609,0.20258583771911182,0.0,0.7777777777777778,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,2,0,0
69,53.0,0.888169430150562,0.13650487480642026,0.36363636363636365,0.8,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,197.0,0.7453426579061097,0.24586830663472498,0.0,0.6363636363636364,0.8,0.9090909090909091,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,9,9,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,4,1,0
71,1840.0,0.9058640363259929,0.16146523944090987,0.0,0.8571428571428571,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,360,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,70.0,0.8514888682745824,0.19763869873044315,0.0,0.7833333333333334,0.9444444444444444,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,247.0,0.7840469472048419,0.20697705584288845,0.0,0.7272727272727273,0.8,0.9090909090909091,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
74,1903.0,0.7900750049856723,0.22058670196025157,0.0,0.7142857142857143,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1143.0,0.8333943105596648,0.20908022581469077,0.0,0.75,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
