cluster_100,count,mean,std,min,25%,50%,75%,max,area_model,benchmark_1_2,benchmark_quarters,comparing_frac_gt_lt,counting_hops_for_division,counting_hops_not_ticks,deci_add_to_model,deci_break_tenths_hundredths,deci_building_tenths,deci_compare_no_models,deci_forgot_decimal_point,deci_hops_instead_ticks,deci_hundredths_vs_tenths,deci_incorrect_inequality,deci_placing_decimal_points,deci_point_location_correct,deci_tens_vs_tenths,deci_understanding_gt_lt,determine_the_frac_part,dragging_to_add,dragging_to_add_3_circles,equally_sized_parts,fraction_of_set,hops_vs_ticks,how_to_model,identifying_gt_lt,inequality_symbol,inverts_numerator_denominator,measuring_tools,misplaced_fraction_part_nline,mixed_number_quotient,mixed_numbers_on_number_line,modeled_incorrect_comparison,modeled_incorrect_numerator,modeling_fraction_division,modulo_ans,multiplication,multiplying_whole_by_proper,nline_as_whole,nline_restart_one,numerator_off_by_one_nline,only_tenths_entered,orange_tick,partially_drawn_parts,partitioning_number_line,recognizing_the_whole,simplify_with_common_denom,simplifying_answers_nline,simplifying_bars_2,simplifying_fractions,simplifying_mixed_numbers,simplifying_mixed_numbers_2,simplifying_subtraction,simplifying_with_bars,starting_from_0_nline,using_bars_in_division,using_correct_piece,wrong_number_parts
0,2730.0,0.7130203526632097,0.2727713513439744,0.0,0.5714285714285714,0.8,1.0,1.0,0,0,0,0,36,0,0,0,0,0,0,2,0,0,0,2,0,0,0,19,8,0,0,0,0,0,0,0,0,286,0,83,0,0,0,8,95,0,15,10,8,0,0,0,0,0,242,286,11,71,27,90,6,0,0,0,0,0
1,757.0,0.8419048953395055,0.20488954409418458,0.0,0.7777777777777778,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
2,647.0,0.7804140604372444,0.26700338038755933,0.0,0.7142857142857143,0.8571428571428571,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1122.0,0.891398258109488,0.1803774727135402,0.0,0.8,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,246.0,0.8025783385539483,0.22846944368368996,0.0,0.7272727272727273,0.875,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
5,446.0,0.904844489093368,0.14003864439028563,0.0,0.8571428571428571,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6,13.0,0.8458541458541458,0.18391140810509346,0.5,0.7272727272727273,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,514.0,0.812765930567487,0.20337399322250146,0.0,0.75,0.8333333333333334,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,35,35,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0
8,341.0,0.7613972781861343,0.25711801234465115,0.0,0.6363636363636364,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,38,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,8,2,1,0,0,0,0,0
9,425.0,0.9328837959426196,0.127409452881696,0.2727272727272727,0.8888888888888888,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,276.0,0.8213266202396636,0.21683808901961094,0.0,0.7708333333333334,0.875,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,26,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0
